population,full
24527,"abbeville, south carolina"
62045,"acadia, louisiana"
32316,"accomack, virginia"
481587,"ada, idaho"
7152,"adair, iowa"
19202,"adair, kentucky"
25343,"adair, missouri"
22194,"adair, oklahoma"
517421,"adams, colorado"
4294,"adams, idaho"
65435,"adams, illinois"
35777,"adams, indiana"
3602,"adams, iowa"
30693,"adams, mississippi"
31363,"adams, nebraska"
2216,"adams, north dakota"
27698,"adams, ohio"
103009,"adams, pennsylvania"
19983,"adams, washington"
20220,"adams, wisconsin"
36777,"addison, vermont"
170872,"aiken, south carolina"
15886,"aitkin, minnesota"
269043,"alachua, florida"
169509,"alamance, north carolina"
1671329,"alameda, california"
16233,"alamosa, colorado"
305506,"albany, new york"
38880,"albany, wyoming"
109330,"albemarle, virginia"
10405,"alcona, michigan"
36953,"alcorn, mississippi"
3337,"aleutians east, alaska"
5761,"alexander, illinois"
37497,"alexander, north carolina"
159428,"alexandria, virginia"
5702,"alfalfa, oklahoma"
9108,"alger, michigan"
13687,"allamakee, iowa"
118081,"allegan, michigan"
70416,"allegany, maryland"
46091,"allegany, new york"
11137,"alleghany, north carolina"
14860,"alleghany, virginia"
1216045,"allegheny, pennsylvania"
379299,"allen, indiana"
12369,"allen, kansas"
21315,"allen, kentucky"
25627,"allen, louisiana"
102351,"allen, ohio"
8688,"allendale, south carolina"
28405,"alpena, michigan"
1129,"alpine, california"
39752,"amador, california"
13145,"amelia, virginia"
31605,"amherst, virginia"
12297,"amite, mississippi"
7858,"anderson, kansas"
22747,"anderson, kentucky"
202558,"anderson, south carolina"
76978,"anderson, tennessee"
57735,"anderson, texas"
17712,"andrew, missouri"
18705,"andrews, texas"
108277,"androscoggin, maine"
86715,"angelina, texas"
579234,"anne arundel, maryland"
356921,"anoka, minnesota"
24446,"anson, north carolina"
6298,"antelope, nebraska"
23324,"antrim, michigan"
71887,"apache, arizona"
12426,"appanoose, iowa"
18386,"appling, georgia"
15911,"appomattox, virginia"
23510,"aransas, texas"
656590,"arapahoe, colorado"
8553,"archer, texas"
14029,"archuleta, colorado"
14883,"arenac, michigan"
17486,"arkansas, arkansas"
236842,"arlington, virginia"
64735,"armstrong, pennsylvania"
1887,"armstrong, texas"
67055,"aroostook, maine"
463,"arthur, nebraska"
126604,"ascension, louisiana"
27203,"ashe, north carolina"
53484,"ashland, ohio"
15562,"ashland, wisconsin"
19657,"ashley, arkansas"
97241,"ashtabula, ohio"
22582,"asotin, washington"
21891,"assumption, louisiana"
51153,"atascosa, texas"
16073,"atchison, kansas"
5143,"atchison, missouri"
65327,"athens, ohio"
8165,"atkinson, georgia"
263670,"atlantic, new jersey"
13758,"atoka, oklahoma"
18174,"attala, mississippi"
25388,"audrain, missouri"
5496,"audubon, iowa"
45656,"auglaize, ohio"
75558,"augusta, virginia"
2751,"aurora, south dakota"
30032,"austin, texas"
55869,"autauga, alabama"
17557,"avery, north carolina"
40144,"avoyelles, louisiana"
3581,"baca, colorado"
11164,"bacon, georgia"
7000,"bailey, texas"
29210,"baker, florida"
3038,"baker, georgia"
16124,"baker, oregon"
223234,"baldwin, alabama"
44890,"baldwin, georgia"
7888,"ballard, kentucky"
593490,"baltimore, maryland"
827370,"baltimore, maryland"
14066,"bamberg, south carolina"
23112,"bandera, texas"
19234,"banks, georgia"
745,"banner, nebraska"
87808,"bannock, idaho"
8209,"baraga, michigan"
4427,"barber, kansas"
24686,"barbour, alabama"
16441,"barbour, west virginia"
10415,"barnes, north dakota"
212990,"barnstable, massachusetts"
20866,"barnwell, south carolina"
44249,"barren, kentucky"
45244,"barron, wisconsin"
83240,"barrow, georgia"
61550,"barry, michigan"
35789,"barry, missouri"
83779,"bartholomew, indiana"
25779,"barton, kansas"
11754,"barton, missouri"
107738,"bartow, georgia"
88723,"bastrop, texas"
16172,"bates, missouri"
12500,"bath, kentucky"
4147,"bath, virginia"
41932,"baxter, arkansas"
174705,"bay, florida"
103126,"bay, michigan"
15036,"bayfield, wisconsin"
3509,"baylor, texas"
18453,"beadle, south dakota"
6125,"bear lake, idaho"
46994,"beaufort, north carolina"
192122,"beaufort, south carolina"
37497,"beauregard, louisiana"
5311,"beaver, oklahoma"
163929,"beaver, pennsylvania"
6710,"beaver, utah"
9453,"beaverhead, montana"
34423,"becker, minnesota"
21859,"beckham, oklahoma"
47888,"bedford, pennsylvania"
49713,"bedford, tennessee"
78997,"bedford, virginia"
32565,"bee, texas"
61303,"belknap, new hampshire"
26032,"bell, kentucky"
362924,"bell, texas"
67006,"belmont, ohio"
47188,"beltrami, minnesota"
16700,"ben hill, georgia"
9298,"benewah, idaho"
3365,"bennett, south dakota"
35470,"bennington, vermont"
6832,"benson, north dakota"
5577,"bent, colorado"
279141,"benton, arkansas"
8748,"benton, indiana"
25645,"benton, iowa"
40889,"benton, minnesota"
8259,"benton, mississippi"
19443,"benton, missouri"
93053,"benton, oregon"
16160,"benton, tennessee"
204390,"benton, washington"
17766,"benzie, michigan"
932202,"bergen, new jersey"
227907,"berkeley, south carolina"
119171,"berkeley, west virginia"
421164,"berks, pennsylvania"
124944,"berkshire, massachusetts"
679121,"bernalillo, new mexico"
19397,"berrien, georgia"
153401,"berrien, michigan"
18947,"bertie, north carolina"
2003554,"bexar, texas"
22394,"bibb, alabama"
153159,"bibb, georgia"
13241,"bienville, louisiana"
13319,"big horn, montana"
11790,"big horn, wyoming"
4991,"big stone, minnesota"
928,"billings, north dakota"
46811,"bingham, idaho"
131228,"black hawk, iowa"
11758,"blackford, indiana"
32722,"bladen, north carolina"
23021,"blaine, idaho"
6681,"blaine, montana"
465,"blaine, nebraska"
9429,"blaine, oklahoma"
121829,"blair, pennsylvania"
11931,"blanco, texas"
6280,"bland, virginia"
12873,"bleckley, georgia"
15064,"bledsoe, tennessee"
57826,"blount, alabama"
133088,"blount, tennessee"
67653,"blue earth, minnesota"
7831,"boise, idaho"
30628,"bolivar, mississippi"
12133,"bollinger, missouri"
6901,"bon homme, south dakota"
16426,"bond, illinois"
45739,"bonner, idaho"
119062,"bonneville, idaho"
37432,"boone, arkansas"
53544,"boone, illinois"
67843,"boone, indiana"
26234,"boone, iowa"
133581,"boone, kentucky"
180463,"boone, missouri"
5192,"boone, nebraska"
21457,"boone, west virginia"
654,"borden, texas"
18685,"bosque, texas"
127039,"bossier, louisiana"
33419,"botetourt, virginia"
326196,"boulder, colorado"
12245,"boundary, idaho"
14534,"bourbon, kansas"
19788,"bourbon, kentucky"
93245,"bowie, texas"
3024,"bowman, north dakota"
10783,"box butte, nebraska"
56046,"box elder, utah"
46718,"boyd, kentucky"
1919,"boyd, nebraska"
30060,"boyle, kentucky"
8303,"bracken, kentucky"
28201,"bradford, florida"
60323,"bradford, pennsylvania"
10763,"bradley, arkansas"
108110,"bradley, tennessee"
43517,"branch, michigan"
19109,"brantley, georgia"
13957,"braxton, west virginia"
374264,"brazoria, texas"
229211,"brazos, texas"
12630,"breathitt, kentucky"
20477,"breckinridge, kentucky"
25062,"bremer, iowa"
601942,"brevard, florida"
9203,"brewster, texas"
1546,"briscoe, texas"
836,"bristol bay, alaska"
565217,"bristol, massachusetts"
48479,"bristol, rhode island"
16762,"bristol, virginia"
6237,"broadwater, montana"
1418207,"bronx, new york"
21939,"brooke, west virginia"
35077,"brookings, south dakota"
15457,"brooks, georgia"
7093,"brooks, texas"
190488,"broome, new york"
70465,"broomfield, colorado"
1952778,"broward, florida"
6578,"brown, illinois"
15092,"brown, indiana"
9564,"brown, kansas"
25008,"brown, minnesota"
2955,"brown, nebraska"
43432,"brown, ohio"
38839,"brown, south dakota"
37864,"brown, texas"
264542,"brown, wisconsin"
5297,"brule, south dakota"
142820,"brunswick, north carolina"
16231,"brunswick, virginia"
39627,"bryan, georgia"
47995,"bryan, oklahoma"
21175,"buchanan, iowa"
87364,"buchanan, missouri"
21004,"buchanan, virginia"
17148,"buckingham, virginia"
628270,"bucks, pennsylvania"
19620,"buena vista, iowa"
6478,"buena vista, virginia"
49659,"buffalo, nebraska"
1962,"buffalo, south dakota"
13031,"buffalo, wisconsin"
81676,"bullitt, kentucky"
79608,"bulloch, georgia"
10101,"bullock, alabama"
261191,"buncombe, north carolina"
32628,"bureau, illinois"
22383,"burke, georgia"
90485,"burke, north carolina"
2115,"burke, north dakota"
95626,"burleigh, north dakota"
18443,"burleson, texas"
445349,"burlington, new jersey"
48155,"burnet, texas"
15414,"burnett, wisconsin"
6459,"burt, nebraska"
19448,"butler, alabama"
14439,"butler, iowa"
66911,"butler, kansas"
12879,"butler, kentucky"
42478,"butler, missouri"
8016,"butler, nebraska"
383134,"butler, ohio"
187853,"butler, pennsylvania"
219186,"butte, california"
2597,"butte, idaho"
10429,"butte, south dakota"
24936,"butts, georgia"
216453,"cabarrus, north carolina"
91945,"cabell, west virginia"
128289,"cache, utah"
240204,"caddo, louisiana"
28762,"caddo, oklahoma"
45905,"calaveras, california"
203436,"calcasieu, louisiana"
12747,"caldwell, kentucky"
9918,"caldwell, louisiana"
9020,"caldwell, missouri"
82178,"caldwell, north carolina"
43664,"caldwell, texas"
29993,"caledonia, vermont"
113605,"calhoun, alabama"
5189,"calhoun, arkansas"
14105,"calhoun, florida"
6189,"calhoun, georgia"
4739,"calhoun, illinois"
9668,"calhoun, iowa"
134159,"calhoun, michigan"
14361,"calhoun, mississippi"
14553,"calhoun, south carolina"
21290,"calhoun, texas"
7109,"calhoun, west virginia"
13943,"callahan, texas"
44743,"callaway, missouri"
39001,"calloway, kentucky"
50089,"calumet, wisconsin"
92525,"calvert, maryland"
1106,"camas, idaho"
130192,"cambria, pennsylvania"
54666,"camden, georgia"
46305,"camden, missouri"
506471,"camden, new jersey"
10867,"camden, north carolina"
6973,"cameron, louisiana"
4447,"cameron, pennsylvania"
423163,"cameron, texas"
13094,"camp, texas"
93584,"campbell, kentucky"
1376,"campbell, south dakota"
39842,"campbell, tennessee"
54885,"campbell, virginia"
46341,"campbell, wyoming"
148306,"canadian, oklahoma"
10803,"candler, georgia"
14678,"cannon, tennessee"
229849,"canyon, idaho"
78871,"cape girardeau, missouri"
92039,"cape may, new jersey"
10725,"carbon, montana"
64182,"carbon, pennsylvania"
20463,"carbon, utah"
14800,"carbon, wyoming"
7155,"caribou, idaho"
4760,"carlisle, kentucky"
35871,"carlton, minnesota"
33406,"caroline, maryland"
30725,"caroline, virginia"
28380,"carroll, arkansas"
119992,"carroll, georgia"
14305,"carroll, illinois"
20257,"carroll, indiana"
20165,"carroll, iowa"
10631,"carroll, kentucky"
168447,"carroll, maryland"
9947,"carroll, mississippi"
8679,"carroll, missouri"
48910,"carroll, new hampshire"
26914,"carroll, ohio"
27767,"carroll, tennessee"
29791,"carroll, virginia"
55916,"carson, nevada"
5926,"carson, texas"
26797,"carter, kentucky"
5982,"carter, missouri"
1252,"carter, montana"
48111,"carter, oklahoma"
56391,"carter, tennessee"
69473,"carteret, north carolina"
105089,"carver, minnesota"
81366,"cascade, montana"
16159,"casey, kentucky"
12147,"cass, illinois"
37689,"cass, indiana"
12836,"cass, iowa"
51787,"cass, michigan"
29779,"cass, minnesota"
105780,"cass, missouri"
26248,"cass, nebraska"
181923,"cass, north dakota"
30026,"cass, texas"
24030,"cassia, idaho"
7530,"castro, texas"
22604,"caswell, north carolina"
9494,"catahoula, louisiana"
159551,"catawba, north carolina"
67580,"catoosa, georgia"
3527,"catron, new mexico"
76117,"cattaraugus, new york"
3762,"cavalier, north dakota"
76576,"cayuga, new york"
102855,"cecil, maryland"
18627,"cedar, iowa"
14349,"cedar, missouri"
8402,"cedar, nebraska"
162385,"centre, pennsylvania"
42450,"cerro gordo, iowa"
20356,"chaffee, colorado"
33254,"chambers, alabama"
43837,"chambers, texas"
209689,"champaign, illinois"
38885,"champaign, ohio"
7426,"chariton, missouri"
6963,"charles city, virginia"
9292,"charles mix, south dakota"
163257,"charles, maryland"
411406,"charleston, south carolina"
26143,"charlevoix, michigan"
188910,"charlotte, florida"
11880,"charlotte, virginia"
47266,"charlottesville, virginia"
13392,"charlton, georgia"
2648,"chase, kansas"
3924,"chase, nebraska"
289430,"chatham, georgia"
74470,"chatham, north carolina"
10907,"chattahoochee, georgia"
24789,"chattooga, georgia"
3250,"chautauqua, kansas"
126903,"chautauqua, new york"
64615,"chaves, new mexico"
40667,"cheatham, tennessee"
25276,"cheboygan, michigan"
77200,"chelan, washington"
83456,"chemung, new york"
47207,"chenango, new york"
26196,"cherokee, alabama"
258773,"cherokee, georgia"
11235,"cherokee, iowa"
19939,"cherokee, kansas"
28612,"cherokee, north carolina"
48657,"cherokee, oklahoma"
57300,"cherokee, south carolina"
52646,"cherokee, texas"
5689,"cherry, nebraska"
244835,"chesapeake, virginia"
76085,"cheshire, new hampshire"
524989,"chester, pennsylvania"
32244,"chester, south carolina"
17297,"chester, tennessee"
45650,"chesterfield, south carolina"
352802,"chesterfield, virginia"
1831,"cheyenne, colorado"
2657,"cheyenne, kansas"
8910,"cheyenne, nebraska"
11933,"chickasaw, iowa"
17103,"chickasaw, mississippi"
10118,"chicot, arkansas"
7306,"childress, texas"
44428,"chilton, alabama"
37349,"chippewa, michigan"
11800,"chippewa, minnesota"
64658,"chippewa, wisconsin"
56579,"chisago, minnesota"
163774,"chittenden, vermont"
12589,"choctaw, alabama"
8210,"choctaw, mississippi"
14672,"choctaw, oklahoma"
5635,"chouteau, montana"
13943,"chowan, north carolina"
32304,"christian, illinois"
70461,"christian, kentucky"
88595,"christian, missouri"
24909,"churchill, nevada"
26675,"cibola, new mexico"
2137,"cimarron, oklahoma"
149657,"citrus, florida"
418187,"clackamas, oregon"
15670,"claiborne, louisiana"
8988,"claiborne, mississippi"
31959,"claiborne, tennessee"
77331,"clallam, washington"
30950,"clare, michigan"
33745,"clarendon, south carolina"
38438,"clarion, pennsylvania"
22320,"clark, arkansas"
845,"clark, idaho"
15441,"clark, illinois"
118302,"clark, indiana"
1994,"clark, kansas"
36263,"clark, kentucky"
6797,"clark, missouri"
2266715,"clark, nevada"
134083,"clark, ohio"
3736,"clark, south dakota"
488241,"clark, washington"
34774,"clark, wisconsin"
23622,"clarke, alabama"
128331,"clarke, georgia"
9395,"clarke, iowa"
15541,"clarke, mississippi"
14619,"clarke, virginia"
40224,"clatsop, oregon"
13235,"clay, alabama"
14551,"clay, arkansas"
219252,"clay, florida"
2834,"clay, georgia"
13184,"clay, illinois"
26225,"clay, indiana"
16016,"clay, iowa"
8002,"clay, kansas"
19901,"clay, kentucky"
64222,"clay, minnesota"
19316,"clay, mississippi"
249948,"clay, missouri"
6203,"clay, nebraska"
11231,"clay, north carolina"
14070,"clay, south dakota"
7615,"clay, tennessee"
10471,"clay, texas"
8508,"clay, west virginia"
292256,"clayton, georgia"
17549,"clayton, iowa"
9700,"clear creek, colorado"
79255,"clearfield, pennsylvania"
8756,"clearwater, idaho"
8818,"clearwater, minnesota"
14910,"cleburne, alabama"
24919,"cleburne, arkansas"
206428,"clermont, ohio"
7956,"cleveland, arkansas"
97947,"cleveland, north carolina"
284014,"cleveland, oklahoma"
6618,"clinch, georgia"
37562,"clinton, illinois"
32399,"clinton, indiana"
46429,"clinton, iowa"
10218,"clinton, kentucky"
79595,"clinton, michigan"
20387,"clinton, missouri"
80485,"clinton, new york"
41968,"clinton, ohio"
38632,"clinton, pennsylvania"
8786,"cloud, kansas"
22124,"coahoma, mississippi"
5495,"coal, oklahoma"
760141,"cobb, georgia"
125922,"cochise, arizona"
2853,"cochran, texas"
36004,"cocke, tennessee"
143476,"coconino, arizona"
28009,"codington, south dakota"
52342,"coffee, alabama"
43273,"coffee, georgia"
56520,"coffee, tennessee"
8179,"coffey, kansas"
3387,"coke, texas"
55241,"colbert, alabama"
76745,"cole, missouri"
8175,"coleman, texas"
50621,"coles, illinois"
10709,"colfax, nebraska"
11941,"colfax, new mexico"
37677,"colleton, south carolina"
384902,"collier, florida"
1034730,"collin, texas"
2920,"collingsworth, texas"
17370,"colonial heights, virginia"
21493,"colorado, texas"
45600,"colquitt, georgia"
23457,"columbia, arkansas"
71686,"columbia, florida"
156714,"columbia, georgia"
59461,"columbia, new york"
52354,"columbia, oregon"
64964,"columbia, pennsylvania"
3985,"columbia, washington"
57532,"columbia, wisconsin"
101883,"columbiana, ohio"
55508,"columbus, north carolina"
21547,"colusa, california"
156209,"comal, texas"
1700,"comanche, kansas"
120749,"comanche, oklahoma"
13635,"comanche, texas"
2726,"concho, texas"
19259,"concordia, louisiana"
12067,"conecuh, alabama"
8205,"conejos, colorado"
1153526,"contra costa, california"
13822,"converse, wyoming"
20846,"conway, arkansas"
17270,"cook, georgia"
5150233,"cook, illinois"
5463,"cook, minnesota"
41257,"cooke, texas"
17709,"cooper, missouri"
31563,"coos, new hampshire"
64487,"coos, oregon"
10663,"coosa, alabama"
28065,"copiah, mississippi"
4086,"corson, south dakota"
47581,"cortland, new york"
75951,"coryell, texas"
36600,"coshocton, ohio"
3887,"costilla, colorado"
1398,"cottle, texas"
5666,"cotton, oklahoma"
11196,"cottonwood, minnesota"
37049,"covington, alabama"
18636,"covington, mississippi"
5538,"covington, virginia"
148509,"coweta, georgia"
34908,"cowley, kansas"
110593,"cowlitz, washington"
14142,"craig, oklahoma"
5131,"craig, virginia"
110332,"craighead, arkansas"
4797,"crane, texas"
102139,"craven, north carolina"
63257,"crawford, arkansas"
12404,"crawford, georgia"
18667,"crawford, illinois"
10577,"crawford, indiana"
16820,"crawford, iowa"
38818,"crawford, kansas"
14029,"crawford, michigan"
23920,"crawford, missouri"
41494,"crawford, ohio"
84629,"crawford, pennsylvania"
16131,"crawford, wisconsin"
71522,"creek, oklahoma"
13772,"crenshaw, alabama"
22372,"crisp, georgia"
47955,"crittenden, arkansas"
8806,"crittenden, kentucky"
14230,"crockett, tennessee"
3464,"crockett, texas"
24404,"crook, oregon"
7584,"crook, wyoming"
5737,"crosby, texas"
16419,"cross, arkansas"
65055,"crow wing, minnesota"
6061,"crowley, colorado"
2171,"culberson, texas"
83768,"cullman, alabama"
52605,"culpeper, virginia"
10766,"cumberland, illinois"
6614,"cumberland, kentucky"
295003,"cumberland, maine"
149527,"cumberland, new jersey"
335509,"cumberland, north carolina"
253370,"cumberland, pennsylvania"
60520,"cumberland, tennessee"
9932,"cumberland, virginia"
8846,"cuming, nebraska"
27763,"currituck, north carolina"
48954,"curry, new mexico"
22925,"curry, oregon"
5068,"custer, colorado"
4315,"custer, idaho"
11402,"custer, montana"
10777,"custer, nebraska"
29003,"custer, oklahoma"
8972,"custer, south dakota"
1235072,"cuyahoga, ohio"
16116,"dade, georgia"
7561,"dade, missouri"
950,"daggett, utah"
429021,"dakota, minnesota"
20026,"dakota, nebraska"
49172,"dale, alabama"
7287,"dallam, texas"
37196,"dallas, alabama"
7009,"dallas, arkansas"
93453,"dallas, iowa"
16878,"dallas, missouri"
2635516,"dallas, texas"
546695,"dane, wisconsin"
1690,"daniels, montana"
40044,"danville, virginia"
37009,"dare, north carolina"
51113,"darke, ohio"
66618,"darlington, south carolina"
278299,"dauphin, pennsylvania"
167609,"davidson, north carolina"
694144,"davidson, tennessee"
42846,"davie, north carolina"
33351,"daviess, indiana"
101511,"daviess, kentucky"
8278,"daviess, missouri"
9000,"davis, iowa"
355481,"davis, utah"
19775,"davison, south dakota"
8589,"dawes, nebraska"
26108,"dawson, georgia"
8613,"dawson, montana"
23595,"dawson, nebraska"
12728,"dawson, texas"
5424,"day, south dakota"
1748,"de baca, new mexico"
27463,"de soto, louisiana"
15638,"de witt, illinois"
18546,"deaf smith, texas"
49458,"dearborn, indiana"
26404,"decatur, georgia"
26559,"decatur, indiana"
7870,"decatur, iowa"
2827,"decatur, kansas"
11663,"decatur, tennessee"
9140,"deer lodge, montana"
38087,"defiance, ohio"
71513,"dekalb, alabama"
759297,"dekalb, georgia"
104897,"dekalb, illinois"
43475,"dekalb, indiana"
12547,"dekalb, missouri"
20490,"dekalb, tennessee"
27812,"del norte, california"
114135,"delaware, indiana"
17011,"delaware, iowa"
44135,"delaware, new york"
209177,"delaware, ohio"
43009,"delaware, oklahoma"
566747,"delaware, pennsylvania"
31162,"delta, colorado"
35784,"delta, michigan"
5331,"delta, texas"
2097,"denali, alaska"
15573,"dent, missouri"
887207,"denton, texas"
727211,"denver, colorado"
38967,"des moines, iowa"
197692,"deschutes, oregon"
11361,"desha, arkansas"
38001,"desoto, florida"
184945,"desoto, mississippi"
1794,"deuel, nebraska"
4351,"deuel, south dakota"
4891,"dewey, oklahoma"
5892,"dewey, south dakota"
20160,"dewitt, texas"
2211,"dickens, texas"
14318,"dickenson, virginia"
4872,"dickey, north dakota"
17258,"dickinson, iowa"
18466,"dickinson, kansas"
25239,"dickinson, michigan"
53948,"dickson, tennessee"
30479,"dillon, south carolina"
10124,"dimmit, texas"
28544,"dinwiddie, virginia"
2264,"divide, north dakota"
16826,"dixie, florida"
